,SDG911_pct,ADM1_PROVINCE;ADM2_PREFECTURE
270,82.9597210264,Shanxi;Yangquan
271,86.7216527524,Shanxi;Yuncheng
272,87.6152050118,Sichuan;Bazhong
273,97.6459646643,Sichuan;Chengdu
274,90.6041950115,Sichuan;Dazhou
275,94.019751918,Sichuan;Deyang
276,60.3614747753,Sichuan;GarzêTibetan
277,95.2816595851,Sichuan;Guang'an
278,85.662375017,Sichuan;Guangyuan
279,84.96099023899998,Sichuan;Leshan
280,69.0016375091,Sichuan;LiangshanYi
281,91.7328731884,Sichuan;Luzhou
282,91.9511919275,Sichuan;Meishan
283,90.3187557,Sichuan;Mianyang
284,91.4814030604,Sichuan;Nanchong
285,84.41152982949998,Sichuan;Neijiang]]
286,89.20221640929998,Sichuan;Neijiang
287,72.2159700876,Sichuan;NgawaTibetanandQiang
288,79.3832472581,Sichuan;Panzhihua
289,91.3004913313,Sichuan;Suining
290,87.2486826362,Sichuan;Ya'an
291,88.6562862592,Sichuan;Yibin
292,93.7567597395,Sichuan;Zigong
293,92.5658087949,Sichuan;Ziyang
294,97.6066415532,Tianjin;Tianjin
295,75.5905342063,XinjiangUygur;Aksu
296,68.1734703613,XinjiangUygur;Altay
297,76.0211661054,XinjiangUygur;Bayin'gholinMongol
298,72.58948178369998,XinjiangUygur;BörtalaMongol
299,79.1967085138,XinjiangUygur;ChangjiHui
300,64.9093927538,XinjiangUygur;Hami
301,79.89843784219998,XinjiangUygur;IliKazakh
302,96.71607614720001,XinjiangUygur;Karamay
303,84.1730731698,XinjiangUygur;Kashgar
304,77.25683910649998,XinjiangUygur;Khotan
305,62.069789765,XinjiangUygur;KizilsuKirghiz
306,99.3873514138,XinjiangUygur;Shihezi
307,73.5431957027,XinjiangUygur;Tacheng
308,77.54437083489998,XinjiangUygur;Turfan
309,93.2093603813,XinjiangUygur;Ürümqi
310,45.7623956422,Xizang;Chamdo
311,62.5434330332,Xizang;Lhasa
312,43.2866340394,Xizang;Nagchu
313,34.0164487839,Xizang;Ngari
314,55.0280149915,Xizang;Nyingtri
315,62.5097295505,Xizang;Shannan
316,52.5791307123,Xizang;Shigatse
317,72.9245209897,Yunnan;Baoshan
318,68.6735713558,Yunnan;ChuxiongYi
319,73.2721613557,Yunnan;DaliBai
320,81.89802579329998,Yunnan;DehongDaiandJingpo
321,79.65188504299998,Yunnan;DêqênTibetan
322,69.8658197464,Yunnan;HongheHaniandYi
323,81.90396863409998,Yunnan;Kunming
324,69.3654616699,Yunnan;Lijiang
325,63.2008988282,Yunnan;Lincang
326,62.870034538,Yunnan;NujiangLisu
327,61.8316169781,Yunnan;Pu'er
328,74.45856996329998,Yunnan;Qujing
329,66.0458807615,Yunnan;WenshanZhuangandMiao
330,70.3042099809,Yunnan;XishuangbannaDai
331,80.1424609143,Yunnan;Yuxi
332,77.0185582446,Yunnan;Zhaotong
333,97.4539363979,Zhejiang;Hangzhou
334,98.16103604400001,Zhejiang;Huzhou
335,99.5551636467,Zhejiang;Jiaxing
336,94.77181335460001,Zhejiang;Jinhua
337,90.107297507,Zhejiang;Lishui
338,98.1708631296,Zhejiang;Ningbo
339,99.6011742598,Zhejiang;Quzhou
340,96.5544363927,Zhejiang;Shaoxing
341,94.3002582655,Zhejiang;Taizhou
342,92.8754697762,Zhejiang;Wenzhou
343,93.6382338054,Zhejiang;Zhoushan
